Actvitiy,x,y,z,Cluster,Activity_raw,Cluster_Name
7,5.550792265861092e-07,-4.3340079568879065e-07,-7.528140407948371e-06,8,Home Repair,Cluster 8: Low-Actvitiy / Home Activities
7,0.015864346660564,-0.0106737234561158,0.0097158834665905,8,Home Repair,Cluster 8: Low-Actvitiy / Home Activities
7,0.0017299450266807,-0.0015761780814325,-0.0004597446603648,8,Home Repair,Cluster 8: Low-Actvitiy / Home Activities
7,0.046255432858417,-0.0486120667235718,-0.0219672809162846,6,Home Repair,Cluster 6: Low-Actvitiy / Home Activities
7,0.0082407042627772,-0.0068284075857958,0.0012848622556153,8,Home Repair,Cluster 8: Low-Actvitiy / Home Activities
7,0.0240809566409607,0.0156130141809297,-0.0058647289201844,8,Home Repair,Cluster 8: Low-Actvitiy / Home Activities
7,0.0062659224791972,-0.0065221301610131,-0.0030897927468538,8,Home Repair,Cluster 8: Low-Actvitiy / Home Activities
7,0.0080012907915641,-0.0039982933605711,0.0111935539294284,8,Home Repair,Cluster 8: Low-Actvitiy / Home Activities
7,0.0490825389430923,-0.0320145106363951,-0.0197435635703481,6,Home Repair,Cluster 6: Low-Actvitiy / Home Activities
7,0.0634591458559037,-0.0432837328643127,-0.0059825360745922,6,Home Repair,Cluster 6: Low-Actvitiy / Home Activities
7,0.1047935038450968,-0.0770359261293013,-0.022488659569048,2,Home Repair,Cluster 2: Low-Actvitiy / Occupation
7,0.0517921013728262,-0.0197210454970713,-0.0195375493864144,6,Home Repair,Cluster 6: Low-Actvitiy / Home Activities
8,0.0373117725761033,-0.0304089745791903,-0.0164761045736328,6,Home Repair,Cluster 6: Low-Actvitiy / Home Activities
8,0.0631673411784021,-0.0667274765798585,-0.0161380953496449,2,Home Repair,Cluster 2: Low-Actvitiy / Occupation
8,0.0237048595618343,0.0095842599827763,-0.0074989184241366,8,Home Repair,Cluster 8: Low-Actvitiy / Home Activities
8,0.0214997751886964,0.0258925321061934,-0.0112624889916949,7,Home Repair,Cluster 7: High-Actvitiy / Occupation
9,0.0009792992351453,0.0007825953089595,-0.0002492300943998,8,Home Repair,Cluster 8: Low-Actvitiy / Home Activities
9,0.0735882355253318,-0.0719396833634055,-0.0038138524846554,2,Home Repair,Cluster 2: Low-Actvitiy / Occupation
10,0.0655623926108563,-0.0323670958146134,0.0634455047207616,5,Home Repair,Cluster 5: High-Actvitiy / Sports
