Unnamed: 0,Actvitiy,Description,Cluster,x,y,z,SVD_1,SVD_2
108,Conditioning Exercise,"Yoga, Hatha, high intensity",0,0.09542590408691905,-0.009893210910464596,0.054487009587180446,0.09542590408691905,-0.009893210910464596
109,Conditioning Exercise,"Yoga, Hot",4,0.03789301802684865,0.02125381438288356,-0.01055827178559255,0.03789301802684865,0.02125381438288356
110,Conditioning Exercise,"Yoga, Power",4,0.06157600768435645,0.007995468900017552,-0.01849101703257205,0.06157600768435645,0.007995468900017552
111,Conditioning Exercise,"Yoga, Nadisodhana",4,0.03789308368509695,0.02125397511242718,-0.010559077396111153,0.03789308368509695,0.02125397511242718
113,Conditioning Exercise,"Yoga, Surya Namaskar",4,0.0378930228635396,0.021253730206274888,-0.010557902359833315,0.0378930228635396,0.021253730206274888
114,Conditioning Exercise,"Yoga, Vinyasa",4,0.05965984875264991,0.033884434211762064,-0.016192185918146026,0.05965984875264991,0.033884434211762064
115,Conditioning Exercise,"Native New Zealander PA, (e.g., Haka Powhiri, Poi, Moteatea, etc.), general moderate effort",3,0.2402801965259004,0.040166974661416284,-0.06506774602338096,0.2402801965259004,0.040166974661416284
116,Conditioning Exercise,"Native New Zealander PA, general, vigorous effort",3,0.2869469367572364,0.09384146516816427,-0.06855942774265622,0.2869469367572364,0.09384146516816427
118,Conditioning Exercise,"High intensity interval exercise,  burpees, mountain climbers, squat jumps, Tabata, vigorous effort",2,0.21470601548747498,-0.08066897429808938,0.06111874004684904,0.21470601548747498,-0.08066897429808938
119,Conditioning Exercise,"Balance Exercise Assist Robot (BEAR), simulated skiing, tennis, rodeo",0,0.06140974754782296,0.0028357450994633718,0.049784022986998036,0.06140974754782296,0.0028357450994633718
120,Conditioning Exercise,Hooping (formerly known as hula® hooping),4,0.001187532986777679,-0.0004356512835558529,0.0006746039524943747,0.001187532986777679,-0.0004356512835558529
121,Conditioning Exercise,"Impulse Training System, Inertial Exercise Trainer",0,0.08374193805066298,0.009767524734006577,0.05910618575444771,0.08374193805066298,0.009767524734006577
122,Conditioning Exercise,"Virtual Reality Fitness,  Supernatural™ “Flow”, “Boxing"" vigorous intensity",0,0.0806515376067567,-0.0406565248898133,0.0489649936030733,0.0806515376067567,-0.0406565248898133
