Actvitiy,Description
Lawn & Garden,"Irrigation channels, opening and closing ports"
Lawn & Garden,Laying crushed rock or gravel
Lawn & Garden,Laying sod
Lawn & Garden,"Mowing lawn, general, walking, moderate effort"
Lawn & Garden,"Mowing lawn, riding mower (Taylor Code 550)"
Lawn & Garden,"Mowing lawn, hand mower, vigorous effort (Taylor Code 570)"
Lawn & Garden,"Mowing lawn, walk, power mower,  moderate or vigorous effort"
Lawn & Garden,"Mowing lawn, power mower, light or moderate effort (Taylor Code 590)"
Lawn & Garden,"Operating snow blower, walking"
Lawn & Garden,"Planting, potting, transplanting seedlings or plants, light effort"
Lawn & Garden,"Planting seedlings, shrubs, stooping, moderate effort"
Lawn & Garden,"Planting crops or garden, stooping, moderate effort"
Lawn & Garden,Planting trees
Lawn & Garden,"Raking lawn or leaves, moderate effort"
Lawn & Garden,Raking lawn (Taylor Code 600)
Lawn & Garden,Raking roof with snow rake
Lawn & Garden,Riding snow blower
Lawn & Garden,"Sacking grass, leaves"
Lawn & Garden,Shoveling dirt or mud
Lawn & Garden,"Shoveling snow, by hand, moderate effort"
Lawn & Garden,"Shoveling snow, by hand (Taylor Code 610)"
Lawn & Garden,"Shoveling snow, by hand, vigorous effort"
Lawn & Garden,"Trimming shrubs or trees, manual cutter"
Lawn & Garden,"Trimming shrubs or trees, power cutter, using leaf blower, edger, moderate effort"
Lawn & Garden,"Walking, applying fertilizer or seeding a lawn, push applicator"
Lawn & Garden,"Watering lawn or garden, standing or walking"
Lawn & Garden,"Weeding, cultivating garden, light-to-moderate effort"
Lawn & Garden,"Weeding, cultivating garden, moderate effort (Taylor Code 580)"
Lawn & Garden,"Weeding, cultivating garden, using hoe moderate-to-vigorous effort"
Lawn & Garden,"Gardening, general, moderate effort"
Lawn & Garden,"Picking fruit or coffee from trees, moderate effort"
Lawn & Garden,"Harvesting Produce, Picking fruit off trees, gleaning fruits, picking fruits/vegetables, climbing ladder to pick fruit, vigorous"
Lawn & Garden,"Harvesting Produce, Picking fruit off trees, gleaning fruits, picking fruits/vegetables, climbing ladder to pick fruit, vigorous  effort"
Lawn & Garden,"Implied walking/standing - picking up yard, light, picking flowers or vegetables"
Lawn & Garden,"Walking, gathering gardening tools"
Lawn & Garden,"Wheel barrow, pushing garden cart or wheelbarrow, general"
Lawn & Garden,"Wheel barrow, pushing large garden cart or heavy wheelbarrow up to 150kg"
Lawn & Garden,"Yardwork, general, light effort"
Lawn & Garden,"Yardwork, general, moderate effort"
Lawn & Garden,"Yardwork, general, vigorous effort"
Miscellaneous,"Board game playing, sitting"
Miscellaneous,"Casino gambling, standing"
Miscellaneous,"Card playing, sitting"
Miscellaneous,"Chess game, sitting"
Miscellaneous,"Copying or filing documents, standing"
Miscellaneous,"Drawing, writing, painting, standing"
Miscellaneous,"Laughter, sitting"
Miscellaneous,"Sitting: reading, book, newspaper, magazine"
Miscellaneous,"sitting, typing or reading on a balance chair/stability ball"
Miscellaneous,"watching tv, stepping during commercial breaks"
Miscellaneous,"Sitting: writing, desk work, typing"
Miscellaneous,"Standing:  talking in person, on the phone, computer, text messaging, writing"
Miscellaneous,"Sitting: talking in person, on the phone, computer, or  text messaging, light effort"
Miscellaneous,"Sitting - studying, general, including reading and/or writing, light effort"
Miscellaneous,"Sitting - in class, general, including note-taking or class discussion"
Miscellaneous,Standing - reading
Miscellaneous,Standing: miscellaneous
Miscellaneous,"Sitting: arts and crafts, carving wood, weaving, spinning wool, light effort"
Miscellaneous,"Sitting: arts and crafts, carving wood, weaving, spinning wool, moderate effort"
Miscellaneous,"Standing: arts and crafts, sand painting, carving, weaving, light effort"
Miscellaneous,"Standing - arts and crafts, sand painting, carving, weaving, moderate effort"
Miscellaneous,"Standing - arts and crafts, sand painting, carving, weaving, vigorous effort"
Miscellaneous,"Retreat/family reunion activities involving sitting, relaxing, talking, eating"
Miscellaneous,Retreat/family reunion activities involving playing games with children
Miscellaneous,Touring/traveling/vacation involving  riding in vehicle
Miscellaneous,Touring/traveling/vacation involving walking
Miscellaneous,"Camping involving standing, walking, sitting, light-to-moderate effort"
Miscellaneous,"Sitting at a sporting event, spectator"
Music Playing,"Accordion, sitting"
Music Playing,"Cello, sitting"
Music Playing,"Conducting orchestra, standing"
Music Playing,"Double bass, standing"
Music Playing,"Drums, sitting"
Music Playing,"Drumming (e.g., bongo, conga, benbe), moderate, sitting"
Music Playing,"Drumming, concert/live show"
Music Playing,"Flute, sitting"
Music Playing,"Horn, standing"
Music Playing,"Piano, sitting"
Music Playing,"Playing musical instruments, general"
Music Playing,"Organ, sitting"
Music Playing,"Trombone, standing"
Music Playing,"Trumpet, standing"
Music Playing,"Violin, sitting"
Music Playing,"Woodwind instruments, sitting"
Music Playing,"Brass instruments, sitting"
Music Playing,"Guitar, classical, folk, sitting"
Music Playing,"Guitar, rock and roll band, standing"
Music Playing,"Marching band, baton twirling, walking, moderate pace, general"
Music Playing,"Marching band, playing an instrument, walking, brisk pace, general"
Music Playing,"Marching band, drum major, walking"
Occupation,"Active workstation, Pedal desk, balance chair/ball, General, light effort"
Occupation,"Active workstation, Pedal desk (40 watts)"
Occupation,"Active workstation, Pedal desk (80 watts)"
Occupation,"Active workstation, treadmill desk, walking slowly 1.0 mph or less"
Occupation,"Active workstation, treadmill desk, walking  1.0 - 2.0 mph"
Occupation,Airline flight attendant
Occupation,Apple Harvesting
Occupation,"Bakery, general, moderate effort"
Occupation,"Bakery, light effort"
Occupation,Bookbinding
Occupation,"Building road, driving heavy machinery"
Occupation,"Building road, directing traffic, standing"
Occupation,"Carpentry, general, light effort"
Occupation,"Carpentry, general, moderate effort"
Occupation,"Carpentry, general, heavy or vigorous effort"
Occupation,"Carrying heavy loads (e.g., bricks, tools)"
Occupation,"Carrying moderate loads up stairs, moving  boxes, 25-49 lbs"
Occupation,"Chambermaid, hotel housekeeper, making bed,  cleaning bathroom, pushing cart"
Occupation,"Cleaning, vacuuming commercial space"
Occupation,"Coal mining, drilling coal, rock"
Occupation,"Coal mining, erecting supports"
Occupation,"Coal mining, general"
Occupation,"Coal mining, shoveling coal, by hand"
Occupation,"Cook, chef"
Occupation,"Construction, outside, remodeling, new  structures (e.g., roof repair, miscellaneous)"
Occupation,"Construction, rebar, bar bending/fixing"
Occupation,"Custodial work, light effort (e.g., cleaning sink  and toilet, dusting, vacuuming, light cleaning)"
Occupation,"Custodial work, moderate effort (e.g., buffing  floors with electric buffer, feathering or  sweeping arena floors, mopping, taking"
Occupation,"Custodial work, moderate effort (e.g., buffing  floors with electric buffer, feathering or  sweeping arena floors, mopping, taking  out the  trash, vaccuming)"
Occupation,"Electrical work (e.g., hook up wire, tapping splicing); plumbing moved to11516"
Occupation,"Engineer (e.g., mechanical or electrical)"
Occupation,"Farming, vigorous effort (e.g., baling hay,  cleaning barn), includes former code 11200"
Occupation,"Farming, moderate effort (e.g., feeding  animals, chasing cattle by walking and/or  horseback, spreading manure, harvesting"
Occupation,"Farming, moderate effort (e.g., feeding  animals, chasing cattle by walking and/or  horseback, spreading manure, harvesting  crops)"
Occupation,"Farming, light effort, (e.g., cleaning animal  sheds, preparing animal feed)"
Occupation,"Farming, driving tasks (e.g., driving tractor or  harvester)"
Occupation,"Farming, feeding small animals"
Occupation,"Farming, feeding cattle, horses"
